# mass in solar masses, radius in solar radii
0.029002568781621163, 0.039352427134743795
0.03559298962514118, 0.03603206799050118
0.050702439129579224, 0.03208226300765783
0.06784157652570261, 0.02939207747855082
0.10836659990889319, 0.025557746372573072
0.14454113689476622, 0.023326302652610705
0.18068737145983882, 0.02149562121118189
0.2571402964476419, 0.018922203383891348
0.3802275245085487, 0.016007054041450926
0.5329554735534094, 0.01337929556622363
0.7619624898582993, 0.010639944688983362
0.999427886779535, 0.008129924284285696
1.0863567506664549, 0.007217211645502757
1.1584511028509976, 0.006361184712380029
1.256001460944007, 0.005048114115360672
1.32387470922632, 0.003962918437814197
1.372672125889168, 0.0029914984918852985
1.4002710293725222, 0.002191025167590767
1.4193872930217013, 0.00150473189521097
1.4300411328515636, 0.0006463599043647766
1.4321880736294217, 0.000245678489890655
