    0.187932085096856050E+00    0.341582066400899054E+00    0.249689432252469312E+00    0.156844177887416092E+01    0.245830469586180896E+07    0.203066561504527954E-01    0.790281991551440299E+01    0.257752346880423810E+00    0.240041379798069249E-02    0.414275043291722614E+05
    0.768079455507804029E-02    0.539400362288783408E+00    0.723393680314350918E-01    0.156410422190967568E+01    0.245830469560791831E+07    0.201851933046470755E-01    0.883379590791180824E+01    0.183393948197043299E+00    0.240041345636303341E-02    0.414276218139313423E+05
    0.814070783570363804E-01    0.259225227307956663E+00    0.154681782769164000E+00    0.156564851053134735E+01    0.245830469632527186E+07    0.205816477505682549E-01    0.793233433950506583E+01    0.222008628513535811E+00    0.240041404719798729E-02    0.414279307671692950E+05
    0.179821079260440275E+00    0.390057757922443515E+00    0.126071845359795303E-01    0.156223996194703885E+01    0.245830469608901069E+07    0.201971398502056587E-01    0.673842261422799815E+01    0.614826272150322151E+00    0.240041343622546775E-02    0.414282003179497697E+05
    0.331188428609051011E+00    0.388313492009679961E+00    0.329825995541283945E+00    0.156697768369365531E+01    0.245830469478892814E+07    0.205892861296899099E-01    0.410415473378705897E+01    0.572643492151112321E+00    0.240041365170973273E-02    0.414293844787341513E+05
    0.298027813256637908E+00    0.393384710569809282E+00    0.612876885076843680E+00    0.156873873179228340E+01    0.245830469667086098E+07    0.204044626672845730E-01    0.187361293963367759E+01    0.949617610254183120E+00    0.240041347415578853E-02    0.414297878362203774E+05
    0.156586917397890352E+00    0.101884714319375375E+00    0.892304082754842964E+00    0.156722817167326922E+01    0.245830469483214291E+07    0.204006545306216758E-01    0.706239091133073060E+01    0.153279576784144778E+00    0.240041355035319542E-02    0.414292267174444132E+05
    0.134037396467343778E+00    0.409584459702367787E+00    0.979122280739652795E+00    0.156438006670726892E+01    0.245830469647997525E+07    0.205503946454301811E-01    0.642300487426774680E+01    0.703323217006233348E+00    0.240041379545380710E-02    0.414303344012948510E+05
    0.875232611601705485E-01    0.516805880139497575E+00    0.549501556297678273E+00    0.156451081815970161E+01    0.245830469708556589E+07    0.206524157398715325E-01    0.530478976967862259E+01    0.644466469379101126E+00    0.240041409850721629E-02    0.414288691421500407E+05
    0.256040803568377717E+00    0.235555953885712210E+00    0.332804900455235309E+00    0.156608547379862428E+01    0.245830469907466881E+07    0.203522921324461592E-01    0.590707003477818038E+01    0.506752332158571073E+00    0.240041372891424158E-02    0.414298465390729179E+05
    0.250240081516207358E+00    0.263971527474865852E+00    0.773272079195958972E+00    0.156255590082255114E+01    0.245830469862655271E+07    0.205254066873687968E-01    0.138849201359690033E+01    0.219803564914530042E+00    0.240041374655895886E-02    0.414308550983314708E+05
