# time(days) eclipse_dt(seconds) gw_freq(hertz)
4.748551416462612451e+02 -4.427205094143573660e+01 4.821709513215807069e-03
4.856047677821774755e+02 -4.629917323727568146e+01 4.821709748786112519e-03
4.988816461088867982e+02 -4.886550651390280109e+01 4.821710039739386146e-03
5.081450996802566351e+02 -5.069706709073216189e+01 4.821710242741370292e-03
5.182009339797004941e+02 -5.272343952383380383e+01 4.821710463107849697e-03
5.311392159562383313e+02 -5.538907189111341722e+01 4.821710746641181058e-03
5.361499086287618638e+02 -5.643906682453234680e+01 4.821710856446994806e-03
5.421439355166513678e+02 -5.770807133048947435e+01 4.821710987801900924e-03
5.471978267043708684e+02 -5.878900089883245528e+01 4.821711098554401845e-03
5.599167416654738645e+02 -6.155371343193110079e+01 4.821711377280592410e-03
